model,fold,log_loss,brier,accuracy
ridge_lr,23,0.6384015350708468,0.2237382603403406,0.6445783132530121
elasticnet,23,0.6401667009146654,0.22445153188737088,0.6485943775100401
logistic,23,0.6385195429501965,0.22378228588442256,0.6405622489959839
xgboost,23,0.647502110471277,0.22692988812923431,0.6465863453815262
lasso_lr,24,0.6555492470531588,0.23115194724107196,0.6051829268292683
ridge_lr,24,0.6579151961221941,0.23187113989105998,0.6051829268292683
elasticnet,24,0.65535342067179,0.23119855324763905,0.6028963414634146
logistic,24,0.6579624853069319,0.2318902715136055,0.604420731707317
xgboost,24,0.6559350494666116,0.23111143708229065,0.625
lasso_lr,25,0.6337215508156848,0.2212753502337912,0.6472537878787878
ridge_lr,25,0.6331045659989737,0.2210205439490712,0.646780303030303
elasticnet,25,0.633769225066212,0.2212773004042231,0.6458333333333334
logistic,25,0.6331036594658724,0.22102029204301327,0.646780303030303
xgboost,25,0.6372139353096729,0.22305333614349365,0.6387310606060606
lasso_lr,26,0.6846082929280329,0.22795973271549733,0.6140519730510106
ridge_lr,26,0.6900935037059988,0.22814267957313183,0.6159769008662175
elasticnet,26,0.6841203046608255,0.22783592053243967,0.6145332050048123
logistic,26,0.6901359429112798,0.22814398295422506,0.6169393647738209
xgboost,26,0.6381306991356185,0.22392232716083527,0.6280076997112608
lasso_lr,27,0.6455638486936432,0.22778002963892563,0.619102416570771
ridge_lr,27,0.6464563537848204,0.2280969804020284,0.620253164556962
elasticnet,27,0.6462748004563719,0.22805627403018822,0.61795166858458
logistic,27,0.6464710549991974,0.22810294132642167,0.620253164556962
xgboost,27,0.6446422368945129,0.22732605040073395,0.616800920598389
lasso_lr,28,0.634202665267137,0.2225752242581674,0.6194926568758344
ridge_lr,28,0.6361463540577348,0.2233796930216283,0.6288384512683578
elasticnet,28,0.6342880051418178,0.22260915752143678,0.6194926568758344
logistic,28,0.636156776427329,0.22338422476548792,0.6281708945260347
xgboost,28,0.6375379907141956,0.2239585816860199,0.6381842456608812
lasso_lr,29,0.6574933339629327,0.23330674984652983,0.5855855855855856
ridge_lr,29,0.6564709727897419,0.23282358739781167,0.5936936936936937
elasticnet,29,0.6571625949339629,0.23315122419321177,0.5846846846846847
logistic,29,0.6564762039773422,0.23282607472919004,0.5936936936936937
xgboost,29,0.6596714043363019,0.234147846698761,0.5774774774774775
lasso_lr,30,0.6572453139477408,0.2332449035068078,0.5948012232415902
ridge_lr,30,0.6563627844207742,0.23281470987866543,0.6024464831804281
elasticnet,30,0.6570488377545101,0.23316198729419033,0.5963302752293578
logistic,30,0.6563928353406614,0.23282932823974958,0.6024464831804281
xgboost,30,0.6581543175241358,0.23359078168869019,0.6024464831804281
lasso_lr,31,0.6463823287359416,0.22717382268738542,0.6454545454545455
ridge_lr,31,0.6467958470906108,0.2274920927816854,0.6181818181818182
elasticnet,31,0.6464461408875818,0.22715229875677082,0.6454545454545455
logistic,31,0.6467541774854978,0.22746904349630728,0.6181818181818182
xgboost,31,0.6247144144662193,0.21677030622959137,0.6818181818181818
lasso_lr,32,0.6799664403087026,0.244613506493766,0.5303030303030303
ridge_lr,32,0.6806098996359414,0.24490675428209302,0.51010101010101
elasticnet,32,0.6801656190824338,0.24471725274479342,0.5303030303030303
logistic,32,0.6806402556949952,0.24491770044347466,0.51010101010101
xgboost,32,0.6625065495110654,0.2366243153810501,0.5505050505050505
lasso_lr,33,0.6867502939249178,0.2465417485058183,0.5790513833992095
ridge_lr,33,0.687813422502535,0.24692251834058165,0.5573122529644269
elasticnet,33,0.6867324559624135,0.24654513904282102,0.5830039525691699
logistic,33,0.6878346273815469,0.24693194714091757,0.5573122529644269
xgboost,33,0.6794325646714289,0.24322456121444702,0.5711462450592886
lasso_lr,34,0.6862753637809482,0.24576162771427076,0.5552486187845304
ridge_lr,34,0.6888706309977635,0.24679956340303086,0.5497237569060773
elasticnet,34,0.6867711303074321,0.24597684917059998,0.5552486187845304
logistic,34,0.6889268225728947,0.24682440752425144,0.5497237569060773
xgboost,34,0.6833161439765144,0.24319761991500854,0.5966850828729282
lasso_lr,35,0.6655742167407973,0.23623852219513103,0.6144859813084113
ridge_lr,35,0.6648765454888883,0.235922091799757,0.5911214953271028
elasticnet,35,0.665829128650052,0.23634902358754437,0.6144859813084113
logistic,35,0.6649101512492996,0.23593745819757223,0.5911214953271028
xgboost,35,0.6647850377162207,0.23613759875297546,0.5934579439252337
lasso_lr,36,0.6574567288284395,0.23162246540010575,0.6422018348623854
ridge_lr,36,0.6541291028941663,0.2300372076959771,0.6513761467889908
elasticnet,36,0.6581052995912455,0.23191847127542395,0.6376146788990825
logistic,36,0.6541438169868495,0.23004424833046722,0.6513761467889908
xgboost,36,0.6572497665137516,0.23184245824813843,0.6513761467889908
lasso_lr,37,0.6315103109460752,0.2217002969262328,0.6125
ridge_lr,37,0.6329368554492106,0.2223372481019129,0.6125
elasticnet,37,0.6314912265480522,0.2216691697653631,0.6125
logistic,37,0.6329930030849289,0.22229408245101343,0.6083333333333333
xgboost,37,0.6642914949944138,0.23661629855632782,0.5583333333333333
lasso_lr,38,0.6776138514116852,0.2399148802890095,0.6020408163265306
ridge_lr,38,0.6835227862193852,0.24245898046921102,0.5918367346938775
elasticnet,38,0.677402560067301,0.2397604955296906,0.6020408163265306
logistic,38,0.683030269091516,0.2422515494404789,0.6020408163265306
xgboost,38,0.6869572990750734,0.24626192450523376,0.576530612244898
lasso_lr,39,0.7071623705737692,0.25620530514534917,0.5290697674418605
