model,fold,log_loss,brier,accuracy
logistic,35,0.665474173094778,0.23614077282466256,0.5911214953271028
xgboost,35,0.6624356120613515,0.23503749072551727,0.5817757009345794
lasso_lr,36,0.6621199928332739,0.23366279097582762,0.6513761467889908
ridge_lr,36,0.6605025353320075,0.23298002819723468,0.6697247706422018
elasticnet,36,0.6627250068769506,0.23393907286828355,0.6513761467889908
logistic,36,0.6680517341030577,0.23620453481089296,0.6605504587155964
xgboost,36,0.6706526399609242,0.23787885904312134,0.6376146788990825
lasso_lr,37,0.650931505600955,0.2313285927927203,0.5333333333333333
ridge_lr,37,0.648179447461477,0.22957344447827144,0.5625
elasticnet,37,0.6500505868859865,0.23091277714704866,0.5416666666666666
logistic,37,0.6347622308729051,0.22312965784248326,0.6083333333333333
xgboost,37,0.6673862607771973,0.2379237562417984,0.5416666666666666
lasso_lr,38,0.6742846606745645,0.24066091040600623,0.5918367346938775
ridge_lr,38,0.6724055258408034,0.23978599705873738,0.5867346938775511
elasticnet,38,0.6735243894504466,0.24031439838980212,0.5816326530612245
logistic,38,0.6850165114538805,0.24295428973554895,0.6224489795918368
xgboost,38,0.6762121950602913,0.24092572927474976,0.6071428571428571
lasso_lr,39,0.6822058425742145,0.24488635742978068,0.5697674418604651
ridge_lr,39,0.7035885451945428,0.2542348315157598,0.5290697674418605
elasticnet,39,0.6840045495997081,0.24569705239644068,0.5697674418604651
logistic,39,0.7130304099721699,0.25829827073519024,0.5232558139534884
xgboost,39,0.7025555195189312,0.25392693281173706,0.5348837209302325
lasso_lr,40,0.6605921291798081,0.23406718590318729,0.6048951048951049
ridge_lr,40,0.6605580937592711,0.23396949404416803,0.6153846153846154
elasticnet,40,0.6613109685304186,0.23439589273798697,0.6031468531468531
logistic,40,0.6818628913998354,0.24203958540071357,0.6013986013986014
xgboost,40,0.6631999402318359,0.23513175547122955,0.611013986013986
lasso_lr,41,0.661775576764479,0.2348215605574732,0.5932203389830508
ridge_lr,41,0.6632010848006491,0.2354557228267734,0.600924499229584
elasticnet,41,0.6614010427605548,0.23465197361176518,0.5963020030816641
logistic,41,0.6762740507573906,0.24117464841432085,0.5909090909090909
xgboost,41,0.6575523908412064,0.23265290260314941,0.6194144838212635
lasso_lr,42,0.6326605708354458,0.2211218972669123,0.6448140900195695
ridge_lr,42,0.628963889495574,0.2194735066732592,0.6409001956947162
elasticnet,42,0.6323424780528332,0.2209887215447974,0.6438356164383562
logistic,42,0.626969628836744,0.21912699009625572,0.6418786692759295
xgboost,42,0.6294275012350331,0.21957679092884064,0.6438356164383562
lasso_lr,43,0.6311685494364748,0.22051958948237269,0.6532343584305408
ridge_lr,43,0.6312991360804971,0.22055281870715576,0.6511134676564156
elasticnet,43,0.6307795930365377,0.2203482524847479,0.6542948038176034
logistic,43,0.6379781958011267,0.22333625736156146,0.6399787910922587
xgboost,43,0.6328186136726074,0.2209881693124771,0.6495227995758218
lasso_lr,44,0.6255597453300958,0.21768637452002162,0.6503884572697003
ridge_lr,44,0.6275658766608803,0.21862803161473732,0.6492785793562708
elasticnet,44,0.6257690960605146,0.21777273114128257,0.6503884572697003
logistic,44,0.6305246794598383,0.2198465290031174,0.6453940066592675
xgboost,44,0.6195721582350362,0.2152557671070099,0.6531631520532741
lasso_lr,45,0.6374035196650284,0.22356076278135265,0.6266094420600858
ridge_lr,45,0.639963215607498,0.22469381556530335,0.6294706723891274
elasticnet,45,0.6377001090717892,0.22370228653276147,0.6266094420600858
logistic,45,0.6412801936044571,0.2254263519747263,0.6187410586552218
xgboost,45,0.6372410253363534,0.2236974984407425,0.6402002861230329
lasso_lr,46,0.6578292314305373,0.23337445114465893,0.6014084507042253
ridge_lr,46,0.6620480590843184,0.2354053801516945,0.5915492957746479
elasticnet,46,0.6580287961603756,0.23348381414152297,0.6056338028169014
logistic,46,0.6668678417163036,0.2378700364186833,0.5549295774647888
xgboost,46,0.6557622926389367,0.2325037121772766,0.5929577464788732
lasso_lr,47,0.6014774539657893,0.20579923702891725,0.6935483870967742
ridge_lr,47,0.608594046768387,0.20910120227323542,0.717741935483871
elasticnet,47,0.601137080230594,0.2056345789001395,0.6935483870967742
logistic,47,0.6005955931124992,0.2061499314025002,0.6693548387096774
