question,team1,team2,end_date,year,p_model,p_market,edge,result,bet_direction,kelly_size,stake,directional_pnl,total_pnl,cumulative_pnl,model_correct,elo_correct,volume
LoL: T1 vs KT Rolster (BO3) - LCK Rounds 1-2,T1,KT Rolster (BO3) - LCK Rounds 1-2,2026-04-01,2026,0.6191,0.661126559608441,-0.042,0,NO,0.0135,135.0,88.3447,88.3447,23312.858,0,0,923486.59
LoL: Hanwha Life Esports vs HANJIN BRION (BO3) - LCK Rounds 1-2,Hanwha Life Esports,HANJIN BRION (BO3) - LCK Rounds 1-2,2026-04-01,2026,0.5722,0.32481368525839993,0.2474,1,YES,0.09,900.0,601.7463,601.7463,23914.6043,1,0,1383117.55
LoL: Kiwoom DRX vs DN SOOPers (BO3) - LCK Rounds 1-2,Kiwoom DRX,DN SOOPers (BO3) - LCK Rounds 1-2,2026-04-02,2026,0.457,0.5418113031062847,-0.0848,0,NO,0.0362,362.0,193.4397,193.4397,24108.044,1,0,694279.5
LoL: Kiwoom DRX Challengers vs KT Rolster Challengers (BO3) - LCK Challengers League Rounds 1-2,Kiwoom DRX Challengers,KT Rolster Challengers (BO3) - LCK Challengers League Rounds 1-2,2026-04-02,2026,0.499,0.3269010197060148,0.1721,1,YES,0.0621,621.0,413.8952,413.8952,24521.9392,0,0,72869.16
LoL: Gen.G Global Academy vs HANJIN BRION Challengers (BO3) - LCK Challengers League Rounds 1-2,Gen.G Global Academy,HANJIN BRION Challengers (BO3) - LCK Challengers League Rounds 1-2,2026-04-02,2026,0.3773,0.32459120793076546,0.0527,0,YES,0.0172,172.0,-56.9609,-56.9609,24464.9783,1,1,174151.45
LoL: Nongshim Esports Academy vs BNK FearX Youth (BO3) - LCK Challengers League Rounds 1-2,Nongshim Esports Academy,BNK FearX Youth (BO3) - LCK Challengers League Rounds 1-2,2026-04-02,2026,0.7896,0.7952765298555381,-0.0057,1,PASS,0.0,0.0,0.0,0.0,24464.9783,1,1,7674.95
LoL: BNK FEARX vs HANJIN BRION (BO3) - LCK Rounds 1-2,BNK FEARX,HANJIN BRION (BO3) - LCK Rounds 1-2,2026-04-03,2026,0.6172,0.36178686805809435,0.2554,0,YES,0.0984,984.0,-362.8144,-362.8144,24102.1639,0,1,721503.32
LoL: Gen.G vs KT Rolster (BO3) - LCK Rounds 1-2,Gen.G,KT Rolster (BO3) - LCK Rounds 1-2,2026-04-03,2026,0.6838,0.592716302019691,0.0911,0,YES,0.0524,524.0,-314.3782,-314.3782,23787.7857,0,0,2184399.39
LoL: Hanwha Life Esports Challengers vs T1 Academy (BO3) - LCK Challengers League Rounds 1-2,Hanwha Life Esports Challengers,T1 Academy (BO3) - LCK Challengers League Rounds 1-2,2026-04-03,2026,0.4232,0.47509610612433356,-0.0519,0,NO,0.0237,237.0,110.8247,110.8247,23898.6104,1,1,206625.74
LoL: DN SOOPers Challengers vs Dplus KIA Challengers (BO3) - LCK Challengers League Rounds 1-2,DN SOOPers Challengers,Dplus KIA Challengers (BO3) - LCK Challengers League Rounds 1-2,2026-04-03,2026,0.424,0.39796767863324034,0.026,0,YES,0.0079,79.0,-32.0073,-32.0073,23866.6031,1,1,70732.21
LoL: SK Gaming vs Shifters (BO3) - LEC Regular Season,SK Gaming,Shifters (BO3) - LEC Regular Season,2026-04-04,2026,0.3543,0.34913463815932666,0.0052,1,PASS,0.0,0.0,0.0,0.0,23866.6031,0,0,226625.6
LoL: Team WE vs Ninjas in Pyjamas (BO3) - LPL Group Ascend,Team WE,Ninjas in Pyjamas (BO3) - LPL Group Ascend,2026-04-04,2026,0.433,0.2743240562203279,0.1587,0,YES,0.053,530.0,-148.557,-148.557,23718.0461,1,1,301906.95
LoL: G2 Esports vs Team Heretics (BO3) - LEC Regular Season,G2 Esports,Team Heretics (BO3) - LEC Regular Season,2026-04-04,2026,0.6392,0.4937358587615831,0.1455,1,YES,0.0692,692.0,345.1456,345.1456,24063.1917,1,0,249146.74
LoL: Natus Vincere vs Team Vitality (BO3) - LEC Regular Season,Natus Vincere,Team Vitality (BO3) - LEC Regular Season,2026-04-04,2026,0.4893,0.6508653618406733,-0.1616,0,NO,0.0601,601.0,387.073,387.073,24450.2647,1,0,339098.62
LoL: Weibo Gaming vs Anyone's Legend (BO3) - LPL Group Ascend,Weibo Gaming,Anyone's Legend (BO3) - LPL Group Ascend,2026-04-04,2026,0.4366,0.43928832776597826,-0.0027,0,PASS,0.0,0.0,0.0,0.0,24450.2647,1,1,489303.21
LoL: RED Canids vs Fluxo W7M (BO3) - CBLOL Regular Season,RED Canids,Fluxo W7M (BO3) - CBLOL Regular Season,2026-04-04,2026,0.6163,0.47661295759313144,0.1397,1,YES,0.0641,641.0,330.6941,330.6941,24780.9588,1,0,42941.67
LoL: Top Esports vs Invictus Gaming (BO3) - LPL Group Ascend,Top Esports,Invictus Gaming (BO3) - LPL Group Ascend,2026-04-04,2026,0.5833,0.5598549207684077,0.0234,0,YES,0.0093,93.0,-52.754,-52.754,24728.2048,0,0,383639.62
LoL: Kiwoom DRX vs Dplus KIA (BO3) - LCK Rounds 1-2,Kiwoom DRX,Dplus KIA (BO3) - LCK Rounds 1-2,2026-04-04,2026,0.3667,0.48245004564766275,-0.1158,0,NO,0.057,570.0,270.7268,270.7268,24998.9316,1,1,305062.07
LoL: T1 vs Hanwha Life Esports (BO3) - LCK Rounds 1-2,T1,Hanwha Life Esports (BO3) - LCK Rounds 1-2,2026-04-04,2026,0.4838,0.6827618042880632,-0.199,1,NO,0.0711,711.0,-230.1764,-230.1764,24768.7552,0,1,1004834.98
LoL: Top Esports vs Anyone's Legend (BO3) - LPL Group Ascend,Top Esports,Anyone's Legend (BO3) - LPL Group Ascend,2026-04-05,2026,0.4934,0.5598549207684077,-0.0665,1,NO,0.0267,267.0,-119.4925,-119.4925,24649.2627,0,1,690386.3
LoL: LOUD vs paiN Gaming (BO3) - CBLOL Regular Season,LOUD,paiN Gaming (BO3) - CBLOL Regular Season,2026-04-05,2026,0.4562,0.5233870424068685,-0.0672,1,NO,0.0289,289.0,-139.9039,-139.9039,24509.3588,0,1,105900.12
LoL: LOS vs Leviatan Esports (BO3) - CBLOL Regular Season,LOS,Leviatan Esports (BO3) - CBLOL Regular Season,2026-04-05,2026,0.6458,0.7668504442820803,-0.1211,1,NO,0.038,380.0,-90.635,-90.635,24418.7237,1,1,75967.9
LoL: Vivo Keyd Stars vs FURIA Esports (BO3) - CBLOL Regular Season,Vivo Keyd Stars,FURIA Esports (BO3) - CBLOL Regular Season,2026-04-05,2026,0.4213,0.5988902014881988,-0.1776,0,NO,0.072,720.0,426.0122,426.0122,24844.7359,1,0,92148.84
LoL: Gen.G vs BNK FEARX (BO3) - LCK Rounds 1-2,Gen.G,BNK FEARX (BO3) - LCK Rounds 1-2,2026-04-05,2026,0.6087,0.7583926749173453,-0.1497,1,NO,0.0479,479.0,-118.363,-118.363,24726.3729,1,1,537577.04
LoL: Sentinels vs Disguised (BO3) - LCS Group Stage,Sentinels,Disguised (BO3) - LCS Group Stage,2026-04-05,2026,0.5586,0.28419013178911223,0.2744,0,YES,0.0945,945.0,-274.3268,-274.3268,24452.0461,0,1,376593.71
LoL: Cloud9 vs LYON (BO3) - LCS Group Stage,Cloud9,LYON (BO3) - LCS Group Stage,2026-04-05,2026,0.5626,0.46253311636921,0.1001,1,YES,0.0437,437.0,231.6139,231.6139,24683.66,1,0,832251.21
LoL: SK Gaming vs GIANTX (BO3) - LEC Regular Season,SK Gaming,GIANTX (BO3) - LEC Regular Season,2026-04-05,2026,0.4561,0.34913463815932666,0.107,0,YES,0.0389,389.0,-138.4653,-138.4653,24545.1948,1,1,224906.08
LoL: Fnatic vs G2 Esports (BO3) - LEC Regular Season,Fnatic,G2 Esports (BO3) - LEC Regular Season,2026-04-05,2026,0.3178,0.3744520022123033,-0.0567,1,NO,0.0338,338.0,-213.8104,-213.8104,24331.3844,0,0,705993.44
LoL: KT Rolster Challengers vs Dplus KIA Challengers (BO3) - LCK Challengers League Rounds 1-2,KT Rolster Challengers,Dplus KIA Challengers (BO3) - LCK Challengers League Rounds 1-2,2026-04-06,2026,0.5801,0.6429702375305292,-0.0629,1,NO,0.022,220.0,-80.0616,-80.0616,24251.3227,1,1,390103.66
LoL: HANJIN BRION Challengers vs DN SOOPers Challengers (BO3) - LCK Challengers League Rounds 1-2,HANJIN BRION Challengers,DN SOOPers Challengers (BO3) - LCK Challengers League Rounds 1-2,2026-04-06,2026,0.4266,0.4782832465120499,-0.0517,0,NO,0.0235,235.0,110.6374,110.6374,24361.9601,1,1,1024695.36
LoL: BNK FearX Youth vs Gen.G Global Academy (BO3) - LCK Challengers League Rounds 1-2,BNK FearX Youth,Gen.G Global Academy (BO3) - LCK Challengers League Rounds 1-2,2026-04-06,2026,0.5513,0.5249038938756665,0.0264,1,YES,0.0101,101.0,47.2291,47.2291,24409.1892,1,1,318686.27
LoL: Team Vitality vs Movistar KOI (BO3) - LEC Regular Season,Team Vitality,Movistar KOI (BO3) - LEC Regular Season,2026-04-06,2026,0.4761,0.6273048213434312,-0.1512,1,NO,0.0581,581.0,-220.6109,-220.6109,24188.5783,0,1,1324386.68
LoL: GIANTX vs Team Heretics (BO3) - LEC Regular Season,GIANTX,Team Heretics (BO3) - LEC Regular Season,2026-04-06,2026,0.5082,0.46643442961560483,0.0418,1,YES,0.0163,163.0,85.7542,85.7542,24274.3325,1,0,758169.93
LoL: Dignitas vs Shopify Rebellion (BO3) - LCS Group Stage,Dignitas,Shopify Rebellion (BO3) - LCS Group Stage,2026-04-06,2026,0.4802,0.294104630754999,0.1861,0,YES,0.0643,643.0,-193.114,-193.114,24081.2185,1,1,207222.21
LoL: Team Liquid vs FlyQuest (BO3) - LCS Group Stage,Team Liquid,FlyQuest (BO3) - LCS Group Stage,2026-04-06,2026,0.5934,0.5306092597679808,0.0628,1,YES,0.0299,299.0,138.1137,138.1137,24219.3322,1,1,678267.22
LoL: Hanwha Life Esports Challengers vs Kiwoom DRX Challengers (BO3) - LCK Challengers League Rounds 1-2,Hanwha Life Esports Challengers,Kiwoom DRX Challengers (BO3) - LCK Challengers League Rounds 1-2,2026-04-07,2026,0.4915,0.2593588076807154,0.2321,0,YES,0.077,770.0,-204.1436,-204.1436,24015.1886,1,1,204422.38
LoL: T1 Academy vs Nongshim Esports Academy (BO3) - LCK Challengers League Rounds 1-2,T1 Academy,Nongshim Esports Academy (BO3) - LCK Challengers League Rounds 1-2,2026-04-07,2026,0.4595,0.6827618042880632,-0.2233,1,NO,0.0801,801.0,-259.3126,-259.3126,23755.876,0,1,366742.78
LoL: Dplus KIA vs Hanwha Life Esports (BO3) - LCK Rounds 1-2,Dplus KIA,Hanwha Life Esports (BO3) - LCK Rounds 1-2,2026-04-08,2026,0.4806,0.6836617238652257,-0.2031,0,NO,0.0726,726.0,491.6281,491.6281,24247.504,1,0,586929.39
LoL: Ninjas in Pyjamas vs Invictus Gaming (BO3) - LPL Group Ascend,Ninjas in Pyjamas,Invictus Gaming (BO3) - LPL Group Ascend,2026-04-08,2026,0.4923,0.46797417349357784,0.0243,0,YES,0.008,80.0,-38.0355,-38.0355,24209.4686,1,1,893723.86
LoL: Top Esports vs Team WE (BO3) - LPL Group Ascend,Top Esports,Team WE (BO3) - LPL Group Ascend,2026-04-08,2026,0.606,0.5598549207684077,0.0461,1,YES,0.0224,224.0,96.9366,96.9366,24306.4051,1,1,305705.58
LoL: T1 vs Gen.G (BO3) - LCK Rounds 1-2,T1,Gen.G (BO3) - LCK Rounds 1-2,2026-04-08,2026,0.426,0.6827618042880632,-0.2568,0,NO,0.0925,925.0,625.5441,625.5441,24931.9492,1,0,734111.67
LoL: DN SOOPers Challengers vs BNK FearX Youth (BO3) - LCK Challengers League Rounds 1-2,DN SOOPers Challengers,BNK FearX Youth (BO3) - LCK Challengers League Rounds 1-2,2026-04-09,2026,0.5893,0.49450965811750053,0.0948,1,YES,0.0438,438.0,218.1202,218.1202,25150.0694,1,0,97221.74
LoL: Gen.G Global Academy vs T1 Academy (BO3) - LCK Challengers League Rounds 1-2,Gen.G Global Academy,T1 Academy (BO3) - LCK Challengers League Rounds 1-2,2026-04-09,2026,0.3255,0.5217167534879501,-0.1962,0,NO,0.0918,918.0,472.064,472.064,25622.1334,1,0,61274.65
LoL: HANJIN BRION vs Kiwoom DRX (BO3) - LCK Rounds 1-2,HANJIN BRION,Kiwoom DRX (BO3) - LCK Rounds 1-2,2026-04-09,2026,0.4853,0.21114408114256816,0.2742,0,YES,0.0858,858.0,-185.4489,-185.4489,25436.6844,1,1,1497472.37
LoL: Team WE vs Bilibili Gaming (BO3) - LPL Group Ascend,Team WE,Bilibili Gaming (BO3) - LPL Group Ascend,2026-04-09,2026,0.281,0.2743240562203279,0.0067,0,PASS,0.0,0.0,0.0,0.0,25436.6844,1,1,353107.08
LoL: Weibo Gaming vs Ninjas in Pyjamas (BO3) - LPL Group Ascend,Weibo Gaming,Ninjas in Pyjamas (BO3) - LPL Group Ascend,2026-04-09,2026,0.5616,0.43928832776597826,0.1223,0,YES,0.0519,519.0,-231.8258,-231.8258,25204.8587,0,1,945352.39
LoL: Dplus KIA Challengers vs HANJIN BRION Challengers (BO3) - LCK Challengers League Rounds 1-2,Dplus KIA Challengers,HANJIN BRION Challengers (BO3) - LCK Challengers League Rounds 1-2,2026-04-09,2026,0.5388,0.5054903418824994,0.0333,1,YES,0.0132,132.0,64.2854,64.2854,25269.1441,1,1,125421.29
LoL: DN SOOPers vs T1 (BO3) - LCK Rounds 1-2,DN SOOPers,T1 (BO3) - LCK Rounds 1-2,2026-04-10,2026,0.4196,0.5175499543523373,-0.0979,0,NO,0.0443,443.0,225.9562,225.9562,25495.1003,1,0,815662.04
LoL: Hanwha Life Esports vs BNK FEARX (BO3) - LCK Rounds 1-2,Hanwha Life Esports,BNK FEARX (BO3) - LCK Rounds 1-2,2026-04-10,2026,0.6002,0.8636841835935026,-0.2635,1,NO,0.0756,756.0,-105.725,-105.725,25389.3753,1,1,1835401.26
LoL: JD Gaming vs Anyone's Legend (BO3) - LPL Group Ascend,JD Gaming,Anyone's Legend (BO3) - LPL Group Ascend,2026-04-10,2026,0.4272,0.34059335655508555,0.0866,1,YES,0.0306,306.0,199.7167,199.7167,25589.092,0,0,717473.23
LoL: KT Rolster Challengers vs Hanwha Life Esports Challengers (BO3) - LCK Challengers League Rounds 1-2,KT Rolster Challengers,Hanwha Life Esports Challengers (BO3) - LCK Challengers League Rounds 1-2,2026-04-10,2026,0.6436,0.6429702375305292,0.0006,0,PASS,0.0,0.0,0.0,0.0,25589.092,0,0,116248.92
LoL: LNG Esports vs EDward Gaming (BO3) - LPL Group Nirvana,LNG Esports,EDward Gaming (BO3) - LPL Group Nirvana,2026-04-10,2026,0.4811,0.5740077198965748,-0.0929,0,NO,0.0378,378.0,214.202,214.202,25803.2941,1,0,997950.08
LoL: Nongshim Esports Academy vs Kiwoom DRX Challengers (BO3) - LCK Challengers League Rounds 1-2,Nongshim Esports Academy,Kiwoom DRX Challengers (BO3) - LCK Challengers League Rounds 1-2,2026-04-10,2026,0.7835,0.7952765298555381,-0.0118,1,PASS,0.0,0.0,0.0,0.0,25803.2941,1,1,152195.61
LoL: Team WE vs Invictus Gaming (BO3) - LPL Group Ascend,Team WE,Invictus Gaming (BO3) - LPL Group Ascend,2026-04-11,2026,0.4221,0.2743240562203279,0.1478,0,YES,0.0493,493.0,-138.186,-138.186,25665.108,1,1,514922.74
LoL: FURIA Esports vs Leviatan Esports (BO3) - CBLOL Regular Season,FURIA Esports,Leviatan Esports (BO3) - CBLOL Regular Season,2026-04-11,2026,0.6708,0.6836857113863462,-0.0129,1,PASS,0.0,0.0,0.0,0.0,25665.108,1,1,158345.6
LoL: Dplus KIA vs Gen.G (BO3) - LCK Rounds 1-2,Dplus KIA,Gen.G (BO3) - LCK Rounds 1-2,2026-04-11,2026,0.4155,0.6836617238652257,-0.2682,1,NO,0.0966,966.0,-311.8502,-311.8502,25353.2578,0,1,695396.97
LoL: Team Heretics vs Natus Vincere (BO3) - LEC Regular Season,Team Heretics,Natus Vincere (BO3) - LEC Regular Season,2026-04-11,2026,0.3772,0.37269517865656876,0.0045,0,PASS,0.0,0.0,0.0,0.0,25353.2578,1,1,225961.08
LoL: G2 Esports vs Team Vitality (BO3) - LEC Regular Season,G2 Esports,Team Vitality (BO3) - LEC Regular Season,2026-04-11,2026,0.5196,0.4937358587615831,0.0259,0,YES,0.0092,92.0,-46.1136,-46.1136,25307.1442,0,1,1210150.76
LoL: Movistar KOI vs SK Gaming (BO3) - LEC Regular Season,Movistar KOI,SK Gaming (BO3) - LEC Regular Season,2026-04-11,2026,0.7092,0.6255479977876967,0.0837,1,YES,0.0521,521.0,191.4284,191.4284,25498.5726,1,1,144080.71
LoL: Shopify Rebellion vs Team Liquid (BO3) - LCS Regular Season,Shopify Rebellion,Team Liquid (BO3) - LCS Regular Season,2026-04-12,2026,0.379,0.6814824418005742,-0.3025,0,NO,0.1,1000.0,674.9705,674.9705,26173.5431,1,0,99047.5
LoL: RED Canids vs paiN Gaming (BO3) - CBLOL Regular Season,RED Canids,paiN Gaming (BO3) - CBLOL Regular Season,2026-04-12,2026,0.5001,0.47661295759313144,0.0235,1,YES,0.0078,78.0,40.2405,40.2405,26213.7836,1,0,94570.15
LoL: Dignitas vs LYON (BO3) - LCS Regular Season,Dignitas,LYON (BO3) - LCS Regular Season,2026-04-12,2026,0.4344,0.294104630754999,0.1403,0,YES,0.0479,479.0,-143.8594,-143.8594,26069.9241,1,1,236463.66
