question,team1,team2,end_date,year,p_model,p_market,edge,result,bet_direction,kelly_size,stake,directional_pnl,total_pnl,cumulative_pnl,model_correct,elo_correct,volume
LoL: Team Heretics vs Karmine Corp Blue (BO1) - LEC Versus Regular Season,Team Heretics,Karmine Corp Blue (BO1) - LEC Versus Regular Season,2026-02-01,2026,0.4795,0.5649896952051214,-0.0855,1,NO,0.035,350.0,-154.8343,-154.8343,8348.6305,0,1,400882.72
LoL: LGD Gaming vs LNG Esports (BO3) - LPL Group Nirvana,LGD Gaming,LNG Esports (BO3) - LPL Group Nirvana,2026-02-01,2026,0.4057,0.6662619200531616,-0.2606,0,NO,0.0962,962.0,634.5267,634.5267,8983.1572,1,0,953570.75
LoL: Movistar KOI vs Los Ratones (BO1) - LEC Versus Regular Season,Movistar KOI,Los Ratones (BO1) - LEC Versus Regular Season,2026-02-01,2026,0.5974,0.4013716254992781,0.196,0,YES,0.0798,798.0,-326.0467,-326.0467,8657.1106,0,1,589444.39
LoL: Team Vitality vs Karmine Corp (BO1) - LEC Versus Regular Season,Team Vitality,Karmine Corp (BO1) - LEC Versus Regular Season,2026-02-01,2026,0.3078,0.27336072276100254,0.0344,1,YES,0.0099,99.0,71.3473,71.3473,8728.4579,0,0,241711.15
LoL: Karmine Corp Blue vs G2 Esports (BO1) - LEC Versus Regular Season,Karmine Corp Blue,G2 Esports (BO1) - LEC Versus Regular Season,2026-02-01,2026,0.4099,0.5516305882859396,-0.1417,0,NO,0.0617,617.0,335.7779,335.7779,9064.2358,1,0,219789.23
LoL: Shifters vs Natus Vincere (BO1) - LEC Versus Regular Season,Shifters,Natus Vincere (BO1) - LEC Versus Regular Season,2026-02-01,2026,0.512,0.25302338211012476,0.259,0,YES,0.0854,854.0,-220.9242,-220.9242,8843.3116,0,1,504839.14
LoL: Sentinels vs Dignitas (BO3) - LCS Lock In Group Stage,Sentinels,Dignitas (BO3) - LCS Lock In Group Stage,2026-02-01,2026,0.6971,0.6825132988638325,0.0146,1,PASS,0.0,0.0,0.0,0.0,8843.3116,1,1,2184952.21
LoL: Cloud9 vs LYON (BO3) - LCS Lock In Group Stage,Cloud9,LYON (BO3) - LCS Lock In Group Stage,2026-02-01,2026,0.6778,0.7602127574483479,-0.0824,1,NO,0.0255,255.0,-62.5403,-62.5403,8780.7713,1,1,1819858.39
LoL: Leviatan Esports vs LOUD (BO1) - CBLOL Cup Regular Season,Leviatan Esports,LOUD (BO1) - CBLOL Cup Regular Season,2026-02-01,2026,0.3522,0.3154970930401705,0.0367,1,YES,0.0111,111.0,75.2607,75.2607,8856.032,0,0,106119.19
LoL: LOS vs paiN Gaming (BO1) - CBLOL Cup Regular Season,LOS,paiN Gaming (BO1) - CBLOL Cup Regular Season,2026-02-01,2026,0.6524,0.5986283745007219,0.0538,0,YES,0.0295,295.0,-178.7218,-178.7218,8677.3102,0,0,124301.75
LoL: Hanwha Life Esports vs Gen.G (BO5) - LCK Cup Group Stage,Hanwha Life Esports,Gen.G (BO5) - LCK Cup Group Stage,2026-02-01,2026,0.4505,0.8916694051129508,-0.4412,0,NO,0.1,1000.0,888.7716,888.7716,9566.0818,1,0,2072123.14
LoL: Dplus KIA Challengers vs Hanwha Life Esports Challengers (BO3) - LCK Challengers League Kickoff Play-In,Dplus KIA Challengers,Hanwha Life Esports Challengers (BO3) - LCK Challengers League Kickoff Play-In,2026-02-02,2026,0.6909,0.36254233908652217,0.3284,0,YES,0.1,1000.0,-369.4755,-369.4755,9196.6063,0,1,78162.55
LoL: paiN Gaming vs Leviatan Esports (BO1) - CBLOL Cup Regular Season,paiN Gaming,Leviatan Esports (BO1) - CBLOL Cup Regular Season,2026-02-02,2026,0.5167,0.5850782360905589,-0.0684,1,NO,0.0264,264.0,-111.462,-111.462,9085.1443,1,1,46383.4
LoL: LOUD vs Fluxo W7M (BO1) - CBLOL Cup Regular Season,LOUD,Fluxo W7M (BO1) - CBLOL Cup Regular Season,2026-02-02,2026,0.713,0.7862946518621511,-0.0733,0,NO,0.0218,218.0,170.3133,170.3133,9255.4576,0,0,28397.56
LoL: Bilibili Gaming vs Weibo Gaming (BO3) - LPL Group Ascend,Bilibili Gaming,Weibo Gaming (BO3) - LPL Group Ascend,2026-02-02,2026,0.5518,0.5789671247950734,-0.0272,1,NO,0.0087,87.0,-37.2661,-37.2661,9218.1915,1,1,763176.15
LoL: LGD Gaming vs Oh My God (BO3) - LPL Group Nirvana,LGD Gaming,Oh My God (BO3) - LPL Group Nirvana,2026-02-02,2026,0.502,0.4382201161965569,0.0638,0,YES,0.0254,254.0,-113.1838,-113.1838,9105.0076,0,1,1515407.76
LoL: Natus Vincere vs Los Ratones (BO1) - LEC Versus Regular Season,Natus Vincere,Los Ratones (BO1) - LEC Versus Regular Season,2026-02-02,2026,0.4836,0.45624832120338377,0.0274,1,YES,0.0093,93.0,49.8767,49.8767,9154.8844,0,0,881793.08
LoL: SK Gaming vs GIANTX (BO1) - LEC Versus Regular Season,SK Gaming,GIANTX (BO1) - LEC Versus Regular Season,2026-02-02,2026,0.3431,0.18601185979244972,0.1571,0,YES,0.0471,471.0,-89.751,-89.751,9065.1334,1,1,818772.14
LoL: Los Ratones vs G2 Esports (BO1) - LEC Versus Regular Season,Los Ratones,G2 Esports (BO1) - LEC Versus Regular Season,2026-02-02,2026,0.3747,0.5188525276940805,-0.1442,1,NO,0.0668,668.0,-326.4094,-326.4094,8738.724,0,1,441020.0
LoL: Karmine Corp vs Fnatic (BO1) - LEC Versus Regular Season,Karmine Corp,Fnatic (BO1) - LEC Versus Regular Season,2026-02-02,2026,0.5794,0.5499084821108162,0.0295,1,YES,0.0125,125.0,55.3333,55.3333,8794.0573,1,1,324297.82
LoL: SK Gaming vs Movistar KOI (BO1) - LEC Versus Regular Season,SK Gaming,Movistar KOI (BO1) - LEC Versus Regular Season,2026-02-02,2026,0.2687,0.18601185979244972,0.0827,0,YES,0.0241,241.0,-45.9236,-45.9236,8748.1337,1,1,371114.57
LoL: FlyQuest vs Disguised (BO3) - LCS Lock In Group Stage,FlyQuest,Disguised (BO3) - LCS Lock In Group Stage,2026-02-02,2026,0.6228,0.7703950127318618,-0.1476,1,NO,0.0465,465.0,-109.2339,-109.2339,8638.8998,1,1,234443.95
LoL: Shopify Rebellion vs Team Liquid (BO3) - LCS Lock In Group Stage,Shopify Rebellion,Team Liquid (BO3) - LCS Lock In Group Stage,2026-02-02,2026,0.4604,0.5099421913069345,-0.0495,0,NO,0.0209,209.0,105.011,105.011,8743.9108,1,0,1198438.13
LoL: Karmine Corp Blue vs Fnatic (BO1) - LEC Versus Regular Season,Karmine Corp Blue,Fnatic (BO1) - LEC Versus Regular Season,2026-02-02,2026,0.5231,0.8631568882852867,-0.3401,0,NO,0.0979,979.0,841.5615,841.5615,9585.4723,0,0,770437.11
